0	156	140
0	157	140
0	158	141
0	159	142
0	160	143
0	161	144
0	162	145
0	163	146
0	165	147
0	166	148
0	167	149
0	169	151
0	170	152
0	171	153
0	173	155
0	174	156
0	176	158
0	177	159
0	178	160
0	179	161
0	180	162
0	181	163
0	182	164
0	183	165
0	184	166
0	184	166
0	185	167
0	186	167
0	187	168
0	187	168
0	188	169
0	189	169
0	190	170
0	190	170
0	191	171
0	192	172
0	193	173
0	193	173
0	194	174
0	195	175
0	196	176
2	195	180
4	195	184
7	194	188
9	194	192
11	194	196
14	193	200
16	193	204
19	193	209
20	191	210
21	190	211
22	189	213
24	188	214
25	187	215
26	186	217
27	185	218
29	184	220
31	182	221
34	180	223
36	179	225
39	177	227
42	175	228
44	174	230
47	172	232
50	171	234
49	169	232
49	168	231
49	167	230
49	166	229
48	165	228
48	164	227
48	163	226
48	162	225
51	160	226
55	158	227
59	156	229
63	154	230
67	152	231
71	150	233
75	148	234
79	146	236
83	143	237
87	140	238
91	138	239
95	135	241
99	132	242
103	130	243
107	127	244
112	125	246
114	122	246
117	120	247
120	118	247
123	116	248
125	113	248
128	111	249
131	109	249
134	107	250
137	105	250
140	103	250
143	101	250
146	100	250
149	98	250
152	96	250
155	94	250
158	93	251
161	91	250
165	90	250
168	88	250
172	87	250
175	85	250
179	84	250
182	82	250
186	81	250
187	81	250
189	82	250
191	83	250
193	84	250
195	84	250
197	85	250
199	86	250
201	87	250
203	87	249
205	88	248
207	88	248
209	89	247
211	90	246
213	90	246
215	91	245
217	92	245
218	92	243
220	93	241
221	93	239
223	94	237
224	95	235
226	95	233
227	96	231
229	97	230
230	96	230
232	96	230
233	96	230
235	96	230
237	95	230
238	95	230
240	95	230
242	95	230
243	94	229
244	94	228
245	94	227
246	94	226
247	93	225
248	93	224
249	93	223
250	93	222
250	93	219
250	93	217
250	93	214
250	93	212
250	93	209
250	93	207
250	93	204
250	93	202
250	92	199
250	92	196
250	91	193
250	91	191
250	91	188
250	90	185
250	90	182
250	90	180
250	89	177
250	88	175
250	88	173
250	87	171
250	86	169
250	86	167
250	85	165
250	85	163
250	83	160
250	81	157
250	79	155
250	77	152
250	75	149
250	73	147
250	71	144
251	69	142
250	68	139
250	67	137
250	67	134
250	66	132
250	65	130
250	65	127
250	64	125
250	64	123
250	62	121
250	61	120
250	60	119
250	59	118
250	57	117
250	56	116
250	55	115
250	54	114
250	53	113
250	52	112
250	51	111
250	50	110
250	49	109
250	48	108
250	47	107
250	47	106
250	45	104
250	44	103
250	42	101
250	41	100
250	39	98
250	38	97
250	36	95
250	35	94
250	33	92
250	31	91
250	29	90
250	27	89
250	25	87
250	23	86
250	21	85
251	19	84
251	16	81
251	14	79
251	11	76
251	9	74
251	7	71
251	4	69
251	2	66
251	0	64
250	0	59
249	1	54
248	1	49
247	2	45
246	2	40
245	3	35
244	3	30
243	4	26
241	3	26
239	3	26
238	2	26
236	2	26
234	1	26
233	1	26
231	0	26
230	0	27
230	0	27
230	0	27
230	0	27
230	0	27
230	0	27
230	0	27
230	0	27
